bidder_id,outcome,nb_bids,nb_auctions,nb_won,max_bids,nb_devices,nb_ips,nb_countries,nb_urls,ratio_main_url,min_action_time,mean_action_time,unique_action_time,min_react_time,mean_react_time,unique_react_time,merchandise_books and music,merchandise_computers,merchandise_home goods,merchandise_jewelry,merchandise_mobile,merchandise_office equipment,merchandise_others,merchandise_sporting goods
91a3c57b13234af24875c56fb7e2b2f4rb56a,0.0,8,7,1,2,5,7,5,1,1.0,351052631579.0,1712203007518.8572,7,1631578948.0,555973684210.75,8,0,0,1,0,0,0,0,0
624f258b49e77713fc34034560f93fb3hu3jo,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
1c5f4fc669099bfbfac515cd26997bd12ruaj,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
4bee9aba2abda51bf43d639013d6efe12iycd,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
4ab12bc61c82ddd9c2d65e60555808acqgos1,0.0,13,9,0,3,10,13,1,9,0.38461538461538464,13578947368.0,253210526315.75,12,52631579.0,8846153846.076923,12,0,0,0,0,0,1,0,0
7eaefc97fbf6af12e930528151f86eb91bafh,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
25558d24bca82beef0f9db4ba1fe2045ynnvq,0.0,1,1,0,1,1,1,1,1,0.0,76929105263158.0,76929105263158.0,1,162105263158.0,162105263158.0,1,0,0,0,0,1,0,0,0
88ae7a35e374a6fddd079ebb28c822eeohwse,0.0,3,3,0,1,1,3,2,1,1.0,80789473684.0,282815789474.0,2,61894736842.0,241035087719.33334,3,0,0,1,0,0,0,0,0
57db69e32163f3e486dc6ef7d615aa12usje6,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
d1be739798ba0745a1fd72ac918a9f1929hei,0.0,3,3,0,1,3,3,3,2,0.3333333333333333,342578947368.0,1155473684210.5,2,1157894737.0,4245614035.3333335,3,0,0,0,0,1,0,0,0
0a6ba32afe4756995db2f5cf2461cddbvj445,0.0,0,0,0,0,0,0,0,0,0.0,76929105263158.0,76929105263158.0,1,75974105263158.0,75974105263158.0,1,0,0,0,0,1,0,0,0
